 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertices of bone volant are shared with parent bone skladacka_predni
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2573, sum of weights is 79, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2573, sum of weights is 79, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2575, sum of weights is 78, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2576, sum of weights is 62, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2576, sum of weights is 62, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2577, sum of weights is 62, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2578, sum of weights is 62, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2579, sum of weights is 44, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2579, sum of weights is 44, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2580, sum of weights is 44, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2581, sum of weights is 43, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2582, sum of weights is 5, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2582, sum of weights is 5, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2583, sum of weights is 5, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2584, sum of weights is 5, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2585, sum of weights is 30, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2585, sum of weights is 30, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2585, sum of weights is 30, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2585, sum of weights is 30, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2586, sum of weights is 30, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2586, sum of weights is 30, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2587, sum of weights is 30, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2587, sum of weights is 30, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2609, sum of weights is 71, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2609, sum of weights is 71, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2610, sum of weights is 72, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2611, sum of weights is 71, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2612, sum of weights is 58, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2612, sum of weights is 58, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2613, sum of weights is 59, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2614, sum of weights is 58, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2615, sum of weights is 43, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2615, sum of weights is 43, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2616, sum of weights is 44, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2617, sum of weights is 44, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2618, sum of weights is 26, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2618, sum of weights is 26, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2619, sum of weights is 28, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2620, sum of weights is 27, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2621, sum of weights is 12, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2621, sum of weights is 12, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2621, sum of weights is 12, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2621, sum of weights is 12, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2622, sum of weights is 14, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2622, sum of weights is 14, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2623, sum of weights is 13, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2623, sum of weights is 13, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2651, sum of weights is 77, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2651, sum of weights is 77, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2652, sum of weights is 78, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2653, sum of weights is 76, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2654, sum of weights is 64, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2654, sum of weights is 64, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2655, sum of weights is 65, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2656, sum of weights is 64, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2657, sum of weights is 52, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2657, sum of weights is 52, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2658, sum of weights is 53, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2659, sum of weights is 52, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2660, sum of weights is 38, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2660, sum of weights is 38, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2661, sum of weights is 39, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2662, sum of weights is 38, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2663, sum of weights is 21, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2663, sum of weights is 21, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2664, sum of weights is 23, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2665, sum of weights is 22, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2666, sum of weights is 8, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2666, sum of weights is 8, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2666, sum of weights is 8, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2666, sum of weights is 8, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2667, sum of weights is 10, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2667, sum of weights is 10, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2668, sum of weights is 9, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2668, sum of weights is 9, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2678, sum of weights is 78, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2678, sum of weights is 78, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2679, sum of weights is 79, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2680, sum of weights is 78, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2681, sum of weights is 67, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2681, sum of weights is 67, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2682, sum of weights is 67, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2683, sum of weights is 66, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2684, sum of weights is 56, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2684, sum of weights is 56, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2685, sum of weights is 56, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2686, sum of weights is 55, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2687, sum of weights is 45, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2687, sum of weights is 45, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2688, sum of weights is 44, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2689, sum of weights is 44, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2690, sum of weights is 33, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2690, sum of weights is 33, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2691, sum of weights is 31, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2692, sum of weights is 31, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2693, sum of weights is 21, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2693, sum of weights is 21, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2694, sum of weights is 20, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2695, sum of weights is 20, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1 Error while trying to generate ST for points: 2644, 2642, 2643
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertices of bone volant are shared with parent bone skladacka_predni
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertex: 1156, sum of weights is 80, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertex: 1156, sum of weights is 80, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertex: 1158, sum of weights is 79, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertex: 1159, sum of weights is 44, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertex: 1159, sum of weights is 44, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertex: 1160, sum of weights is 44, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertex: 1161, sum of weights is 44, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertex: 1180, sum of weights is 58, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertex: 1180, sum of weights is 58, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertex: 1181, sum of weights is 59, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertex: 1182, sum of weights is 58, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertex: 1183, sum of weights is 26, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertex: 1183, sum of weights is 26, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertex: 1184, sum of weights is 28, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertex: 1185, sum of weights is 27, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertex: 1207, sum of weights is 78, should be 100 
